"Fiscal Year","Heating Plant Gas","Grid Electricity","Carbon-Neutral Hydropower","On-Campus Renewable Electricity","Total Energy (MMBtu)","Electricity Cost","Gas Cost","Total Cost ($)"
"FY 93-94","1295861","426126","76422","0","1798410","6742678","3931441","10674119"
"FY 94-95","1339239","360255","117965","0","1817459","5961753","3294544","9256297"
"FY 95-96","1367739","390186","135195","0","1893119","5648060","3309407","8957467"
"FY 96-97","1518401","381415","148932","0","2048749","4303813","4081089","8384901"
"FY 97-98","1492648","360104","169199","0","2021950","3780223","4384729","8164952"
"FY 98-99","1558929","396552","170208","0","2125689","4932591","4597367","9529958"
"FY 99-00","1585038","437001","154364","0","2176403","4958330","5137465","10095795"
"FY 00-01","1720063","461553","114540","0","2296157","6061833","15448939","21510772"
"FY 01-02","1659405","474516","93084","0","2227006","10724107","9207182","19931289"
"FY 02-03","1470126","515494","108912","0","2094533","11173420","8057666","19231086"
"FY 03-04","1596160","526550","126713","0","2249423","8240852","9446424","17687277"
"FY 04-05","1558921","611947","100522","0","2271390","11475201","10530559","22005761"
"FY 05-06","1424165","552035","242916","0","2219116","13881352","12256573","26137924"
"FY 06-07","1349479","677380","141259","0","2168118","15434653","10906763","26341416"
"FY 07-08","1213520","726483","104347","0","2044350","17406121","10782996","28189117"
"FY 08-09","1131053","713881","99327","0","1944261","17886086","9613639","27499726"
"FY 09-10","1146230","705008","93640","0","1944878","16573418","8662684","25236101"
"FY 10-11","1108043","647969","142544","0","1898556","15217603","7354977","22572580"
"FY 11-12","1097641","648913","151342","2311","1900208","15425500","7430879","22856380"
"FY 12-13","1057601","645342","137286","4128","1844357","15086719","8940965","24027685"
"FY 13-14","1031904","690786","83777","4737","1811205","16431438","7523800","23955238"
"FY 14-15","977242","697057","75251","5343","1754893","16195871","6047685","22243556"
"FY 15-16","995115","593214","90680","86502","1765511","16572878","5495881","22068759"
"FY 16-17","1040047","454707","198354","107092","1800199","15562097","7114582","22676679"